tourist_destination,review_post
BenCab Museum,This place is very relaxing! Mr. Cabrera have paintings made by Ang Kiukok in his personal collection. Just wow! I love every corner of this museum and I hope I can purchase one of his paintings soon!
BenCab Museum,nice place to visit when in baguio. the property is located outside the busy streets of the city. offers great views and good food of course the paintings and fine arts collections of the owner. could have been better if the place had elevator for seniors and pwd's
BenCab Museum,Great place for art. Has a cafe inside as well plus the koi pond. Saw that there is debit card/credit card option on the store as well. Quite far but the trip is worth it. P25 via jeepney from Burnham Park
BenCab Museum,"a long ride from baguio city proper, but definitely a MUST VISIT. my boyfriend really enjoyed the personalized mini tour i gave him from the bulol, some of the national artists' works and the current contemporary artists i have met and encountered.we also enjoyed a cheesecake and coffee from Cafe Sabel.the view is 💯."
BenCab Museum,The place is so beautiful with all the artworks. A must visit for Baguio City visitora.
BenCab Museum,"Very creative artist BenCab. Various works of Art depicting people's life and culture.  Ohhh I love the pond, the garden and nature around. Must see while in town"
BenCab Museum,Amazing view for picture taking around the edge of the mountain. Lots of beautiful art to look at and ponder. Reasonable price of 150 pesos per person as this review is made. $3.50 CAD. Spent a couple hours there including eating at the Cafe. I had the fish and it was tasty. There's 4 floors included with various art and a little pond with ducks outside.
BenCab Museum,Love this place... The whole place showcases Baguio's heart of art.  We enjoyed our afternoon coffee drinks here. Relaxing views because its far from the city proper.We find a hard time finding transpo going back to the city proper at around 5:30pm. Its not accessible by Grab and only few taxi were passing by. You can ride a jeepney back to the city.This is a must go places in baguio...
BenCab Museum,"We came in during the rainy season,so theres not much people around. The place was nice as expected and theres a lot of scenic areas in the garden for selfies and photos. You can also reach the place thru commute jeepney even if you dont have your own car."
BenCab Museum,"Definitely a must see in Baguio.Sharing some photos, but the real artworks are much more awe inspiring.It’s 4 floors below with a coffee shop at the bottom. If the skies are clear, there’s a scenic view to match the coffee.The tour is arranged so that you get through all the artworks and talk about it after with coffee.There are feature artists from time to time so there’s reason to come back and appreciate new art."
BenCab Museum,Much more than a showcase of the artist's work and his collection of artifacts from the region. It's a sanctuary and nature park that visitors to Baguio should not miss.
BenCab Museum,"The place is amazing, except it's not PWD-friendly. There are no ramps, only stairs. The artworks are lovely! We got to eat in the restaurant and the food is so delicious, but pricey. The view is so relaxing as well …More"
BenCab Museum,Damn what a great collection of paintings. When you think the tour is over your view overlooks a beautiful koi pond garden backed by a mountain wall of trees. The cafe has some pretty awesome eats as well. I highly recommend the strawberry shake. So FRESH! …More
BenCab Museum,Nice collection and awesome view at the mountain with ponds with koi fish and ducks
BenCab Museum,I'm a lover of art so this place is very close to my heart. The place is spacious and very ideal for long-staring contest with the pieces that adorned the walls of the place. I love that it has an outdoor garden as well as a Koi pond.
BenCab Museum,Good place as it is.  Videos and cameras with flash are not allowed. 😁
BenCab Museum,"The place is really a gem. Great contemporary local art and indigenous craft.For art lovers a must visit, some interesting works by Filipino artists covering many different styles.Showcasing beautiful and amazing art pieces. Also, the outdoor landscape is so beautiful..."
BenCab Museum,"Not so crowded, 150 entrance regular, nice artwork …More"
BenCab Museum,I love arts.. so I enjoyed my visit here even though there was no tour guide but I enjoyed my tour by myself. Beautiful scenery…
BenCab Museum,"Wonderful works of art are displayed all over the museum. If you're planning to bring your kids, you might not enjoy the museum that much. Don't hesitate to avail of the eco trail to maximize your visit. …More"
BenCab Museum,"Location: 🌟🌟🌟 Quite far from the city. We rode a taxi in going here, but I noticed some jeeps will take the passengers directly in front of the museum.Going out of the area is a different story though. When the jeep passes by the museum, it's already full and not many taxis pass by due to the location. We had to walk maybe a kilometer just to look for a taxi that will take us back to the city (I'm not complaining though because we were able to enjoy some carved wood stuff that the neighboring shops sold).Price: 🌟🌟🌟🌟🌟 Entrance fee is okay considering it is one of the most beautiful museums I have visited.Museuem itself: 🌟🌟🌟🌟🌟 the way they organized the artworks is what amazes me. From the Igorot artworks to modern artworks, all were so beautiful. It will leave you in awe.The musuem is situated on the mountains and the view is mesmerizing.I will definitely be back with with my family once more.Overall rating: 4.5 out of 5"
BenCab Museum,"Lots of different types of art to look and admire at, with a spectacular nature view."
BenCab Museum,"It's always been a good experience going to Bencab, though it's general admission fee is a bit high. Generally, it's expensive going there since you got to take a cab to and fro the city. It's worth it on a good day, but not on a rainy day. You can't enjoy the garden if you want to.The artworks are awesome, but there's nothing new. I hope there will be more new pieces to see.CafeSabel is nice, except for the prices of food and beverages. But of course, you've got no choice when you're thirsty!"
BenCab Museum,Good for the artsy. Good for the gram! 📷 Good food at Cafe Sabel! A bit pricy but worth it! Try their baby back ribs & volcano ice cream for the dessert. 🍦
BenCab Museum,The museum itself was full of dry modern art. Not a big admirer of art in general but despite even that i was just not inspired at all. The only thing that saves the place is that they have a nice small pond with koi fish and some ducklings in the back area. …More
BenCab Museum,"I will NOT go back again. The customer service ruins my experience with the art museum. The personnelles do not  know how to greet us back. They don't know how to say simple thank you nor welcome and they are annoyed when being approached. Some of the guest are unruly, kids running around like it's a park, people talking too loud and will crowd you when you walk - no staff close by there to maintain the ""museum"" atmosphere. The comfort room is squalid. Knowing that the guests pay here, the floor is muddy and the toilets have no flush. Also, you taking video is not allowed. You may want to check their facebook reviews too. Better go to National Museum in Manila."
BenCab Museum,"Well, this place is a must see spot when you are exploring Baguio specially when you do love artworks. They also have a cafe for a small bite and some refreshers. You may also be amaze with the scenery and calmness of the landscape."
BenCab Museum,"Very interesting museum, it features the rich culture of the Igorot too. A must visit in Baguio🤩"
BenCab Museum,The location of this art museum is quite far from the city but it’s still worth the long drive. Not just for art lovers but also for people who appreciate nature or both. Entrance fees are paid at the reception area. They have several sections of paintings and sculptures showcasing local talents. BenCab has several nice masterpieces in oil and canvas. It has a coffee shop inside the museum. You can also have a guided tour along the trails for those who’re nature lovers. Very nice location for a museum.
BenCab Museum,"This is a must visit place. There are a lot of art works to see. They have different collections - paintings, sculptures, etc. There is also a small resto and their food is delicious and tasty. You can also enjoy the scenic place and take lots of photos except for some restricted areas in the museum."
BenCab Museum,"As a Baguio Resident, I can confidently say that this place is a must if you're visiting Baguio City. Just around 30mins or less from the city center you could enjoy this superb place full of solid beautiful local art and the museum itself gives a world class vibe. It also has a cafe inside, no need to worry if you get hungry specially that you need energy and time to fully explore the area. An eco park is also located inside the premises where in an eco trail tour is also available upon request (tour inside are also available). This place is truly worth the visit, staff are very accommodating too. A gem near Baguio. . . fascinating 👍"
BenCab Museum,Place is nice but crews not so .. …More
BenCab Museum,we go here not only for the artworks but mostly for the coffee shop at the basement of the museum. nice and relaxing view of the garden and ponds. pretty good food selections also.
BenCab Museum,Try the eco trail. PhP 250 …More
BenCab Museum,"I was very impressed and glad to finally visit BenCab Museum!This is definetely a place to go if you are in Baguio.Car park available at the front of the building and also along the road.Once you have paid for your ticket, you will be informed/reminded that pictures are permitted however without flash. No videos allowed. You will also be given a map of the Museum.Toilets facility is available inside the premises.There is also a restaurant/cafeteria where you can enjoy a meal, coffee or simply a snack with a beautiful view. The food and coffee are really good.There is an outside area of which I enclosed some pictures. Is very beautiful and peaceful.Inside there are different sections with a variety of subjects and artworks, I won't post any pictures because I took too many and I don't know which one to chose. I think you should really go and experience it yourself,  is worth it :)Enjoy!Thank you,AMestizaInManila"
BenCab Museum,Galleries are always updated. Its always a new experience everytime I visit.I visited again during the pandemic which was awesome because I got the place (almost) all for myself. I was heartbroken by the time I visited this place because of an unexpected turn of events from an employment opportunity in the city but visiting this place made me forget the worries. Viewing the artworks was soothing.
BenCab Museum,"Aside from the astounding art pieces in the museum, the view on the museum's balconies is amazing. You could also grab lunch at Cafe Sabel in the lower ground floor or take pictures at lake just outside the museum's cafe."
BenCab Museum,The place is far from the city of Baguio but that makes it better since it does not become overcrowded. The location is also idyllic and you could go and relax here.The works and collection of our national artist is really interesting. There are tours and the tour guides are very accommodating and will answer your questions.They also have a cafe and the food is good. They have an ecopark which comes with a minimal fee.Restrooms are clean as well.
BenCab Museum,"This is a really great place with beautiful art. First of all, I appreciated the fact that the place is accessible via public transport. I find Bencab Museum to be similar to Pinto Art Museum and I think I've spotted a few artists at artworks on Bencab that have been previously displayed at Pinto Art. Not 100% sure about this though. I enjoyed our own quiet time looking at art and also appreciating nature outside the museum. It's my first time in the museum and I feel like I haven't fully appreciated what the place has to offer. So I will definitely come back and give it a second visit the next time I am in town."
BenCab Museum,"Museum had a good range of exhibits and a koi pond. There is no Grab service here, so be prepared with your return transportation in advance."
BenCab Museum,An awesome museum. Very nice collection of art. The cafe and outdoor area is definitely worth exploring
BenCab Museum,"A lot to see in this museum, worth the entrance fee of P120 pesos per head. An array of paintings and varied artworks of talented artists are on display to amaze and tickle one's mind. 😉 There's also a café on the lower level to satisfy one's hunger pangs! Very nice garden, too! Must-visit when in Baguio!"
BenCab Museum,We paid 150 pesos (adult rate - if I remember correctly) for entrance fee. And I think it's worth it especially if you are fascinated with arts. You can go here via local jeep. And go back to the town via jeep as well to save you money.
BenCab Museum,"It's a beautiful place for art lovers. Entrance is P150 each, but offer discounts to all student, PWD and Seniors just present your ID's.Bencab is closed every Monday. Open from 9am to 6pm Tuesday to Sunday."
BenCab Museum,"A multi split-level museum with specific room for sculptures, relics, artworks, etc. which help us to roam around the museum without any hamper and foot traffic. They also have cafe at the lower ground of the building which a lil bit pricey. But all-in-all, it's a good place to relax and get some ideas if you're into arts.By the way, don't forget to bring your student i.d. 😉"
BenCab Museum,I am really amazed by the artworks presented as well as the history presented by mr. Dizon from his memory. It has a cafe inside. Tours in the museum depends on the number of people you are in a group. Nevertheless you could just tour it by yourself and take the time that you want. Wood arts are also presented by the culture of benguet. Amazing!!
BenCab Museum,The place is quite far but you can easily ride a taxi going here. Entrance fee is P120 pesos per person. There are parking spaces available for those who will bring their own car.The place has good collection of paintings and sculptures. The view is alao instagram worthy. You can also eat at Cafe Isabel.
BenCab Museum,"Such a very maintain place, wonderful and very educational,  children will enjoy looking around. Seing the masterpieces of different artists. The place also displays the beauty of nature with is island gazebo."
BenCab Museum,"Great artwork pieces by BenCab and other Filipino artists. I love the landscape behind the building and the view of a hill across which is fully covered with trees. It is just so beautiful, so relaxing. They serve good food too...a must visit in Baguio. Entrance is P150 but all worth it."
BenCab Museum,"Beautifully landscaped garden and forest trail, awesome sceneries to behold, very stress relieving! Varied and interesting paintings, stimulates the creative side of visitors!"
BenCab Museum,"We visited the Bencab Museum during our 3 nights stay in Baguio City, on our way to Banaue, January 2016. We got a very good, friendly & very knowledgeable young man as Museum Guide. It was a very interesting & informative museum visit with regards to native history & art. We also managed to have coffee & ice cream in their cafeteria. It is located outside the City but definitely worth visiting for a few hours. Highly recommendable."
BenCab Museum,"A nice way to know the indigenous tribe of the Cordilleras..You can have a Museum tour cost of P150 per head. See all the greates art of Ben Cabrera and artifacts from the tribes displayed on the museum.You can also get the eco tour for P150 per head, guide included and stroll on the vast 6 hectar total garden. Learn about some of the native tribes and anjoy the view.Meals are available as well on their Cafe.A bit pricey for the water. P60 per 500ml bottle but the bottle says all sales will got to charity... 🤷‍♂️"
BenCab Museum,"LIKE A HAIKUBy: Jeannie E.JavelosaToday, I entered a haiku poem. in three parts:  the Beauty of Art expressed. Nature’s Spirit speaking.  Palate pleasures pursued. Here visiting an old friend’s museum in Benguet and all at once a package of world class experiences curated by our National Artist BenCab, emerges. Paintings, prints, his collection of bulol rice grainary traditional sculptures, contemporary art of artists he supports are the first come-one; then, an Eco-hike that takes you around the museum (including farm plots where vegetables are grown for the cafe Sabel), and into the wild of the mountain trail. The prize? Spectacular views, waterfalls  and clean mountain air.  We cap our experience with delicious farm to table slow-food type cuisine (fried itik which is a local duck, watercress salad, creamy risotto like mountain rice, pumpkin-carrot soup and mountain rice suman sa latik) as one looks out into the hill slowly disappearing from view as the fog quietly engulfs it.  So quiet this place...as we were the only ones there. Until Ben comes out and a weird reunion of sorts with masks and social distancing mark our place and the unique time we are in. But no matter... for the experience of beauty that he has created in his destination place here in Tuba, Benguet stops all time - past, present and future. A place we always would want to return to. For it is like a timeless masterful haiku poem that fills both spirit and senses. #travelswiththejeannie #supportlocalbusinesses #slowtravel #naturelover #journeywiththejeannie"
BenCab Museum,"It's a nice place for people who knows how to appreciate art. There are lots of art to see. The the type of art in this museum is not so intriguing for me, since I'm not an art enthusiast myself. But it's a friendly place for instagramers and people who pretends to know art. #eisenphireChecked"
BenCab Museum,"First of all, the museum is located a bit far from the city so you have to arrange a transportation back and forth.It's a three storey museum filled with artworks, paintings and sculptures about northern cultures. You'll get to know more of their history by visiting this place. Perfect venure for art lovers.The garden at the back helps you forget your problems for a while lol. Sitting in the cottage gave me the most relaxing 15 minutes of my life 😁."
BenCab Museum,"Awesome museum with a large collection of Filipino art - paintings, sculptures, furniture and indigenous pieces. The displayed art pieces are not only by Ben Cab (owner) but also by other Filipino artists. The general admission of 150 php is very worth it.The museum is very contemporary with spacious white interiors. There is a cafe at the lower floor which faces a koi pond and garden. The museum also offers an ecotrail/ hiking which has a separate fee. Highly recommended for tourists visiting Baguio."
BenCab Museum,Very nice work of art. The place is fantastic with great view. entrance fee is 150-200 per person cant remember the exact price.
BenCab Museum,"If you love paintings, this is your place to go. Staff are accomodating and the place is not crowded. You will also love the outside ambiance if the weather permits. There is a cafe also if you'll feel famished."
BenCab Museum,"Great artworks, great views.There’s a Cafe at the first floor (Cafe Sabel) with a great view of their pond and mountain ranges with lushes of greens."
BenCab Museum,"There so many art pieces to be seen and to be loved. If you are an art lover or love the Philippine's history, culture and tradition, this place is very worth visiting!"
BenCab Museum,"Excellent lay out with a good, varied collection of art work. Not a very big museum which makes it manageable.Nice cafe on site and also well presented garden area for a short stroll.If you're lucky you'll be able to meet the maestro himself who is always willing to spend a few minutes with you and have a photo with you. A real gentleman.Well worth a visit if you're in Baguio."
BenCab Museum,"BenCab Museum is a little bit out of the way compare to other Baguio sites, after all its in Tuba. The road going here is a little bit quite and lonely since its far from other tourist spots but the visit was indeed a very memorable one. BenCab Museum showcases not just Cordillera's arts and sculptures, it also houses contemporay arts made by young artists. The museum was a work of art and it complements the serene environment it was situated.A definitely a must visit place."
BenCab Museum,It’s an honor to have visited a national artist’s museum.
BenCab Museum,"BenCab works epitomize the struggles of his generation, of Philippine history. His collection of arts and sculptures at his museum is one for the books when you visit Baguio."
BenCab Museum,"Beautiful artwork. Great destination for solo or small groups. Lots of stairs, don't bring grandparents"
BenCab Museum,Love this musuem. Small but includes worthy artworks. Entrance fee cost 120 pesos. For public transportation from city center it costs us 250 pesos (fix rate not metered as per the taxi driver since it is far) around 20-40mins travel time depending on the traffic. nice view and you get to see different types of art pieces.
BenCab Museum,A must place to visit to those who have a  heart for arts.Very interesting and some of the sculptures or artifacts were a representation of ethnicity in the mountain province.And also the garden at the back of the museum is a good place to relax and enjoy the view of nature.
BenCab Museum,One of the best museums Ive ever been to. Literally one of the most facinating and most chic. Contemporary arts and a pinch of surrealism. Everything s is just love!
BenCab Museum,"Great artwork from awesome artist. Amazing ideas ,?creativity and imagination. Beauty is on the eye of the beholder ,as said. You gonna love it ,if your fond of arts."
BenCab Museum,Brings the artistic you with mesmerizing art display. Gives you the throwback feel from the early Filipino culture. Wasn't able to try the food serve here since we have a reservation with another location. But definitely a place you need to visit when your in Baguio.
BenCab Museum,"Cool museum put up by the Ben Cabrera if you like and enjoy arts as personal expression. Entrance fee at 150/ head. Not too crowded this time, although travel is quite around 30-45min from the city center. Enjoyed the variety of art pieces and how they were put together for the public to realize we have great local artists! Great work!"
BenCab Museum,This place reminds me of the Met museum in NYC which is cool! Def worth the visit if u ever go to Baguio!
BenCab Museum,Beautiful museum. Worth the drive over. Real nice art and an amazing lunch cafe with crazy good prices and nice view of gardens and fish pond.
BenCab Museum,Nice place to visit since there were really few people
BenCab Museum,Amazing place to enjoy the afternoon. Outstanding artwork and artifacts. There is a gallery hosted within that has rotating exhibits to purchase from as well. The cafe and grounds are a good place to relax and enjoy the views.
BenCab Museum,The place is huge and of course full of art pieces. It is 25 to 30 minutes away from Baguio City. You can ride a jeep that cost 12pesos or take a taxi for 190 to 220pesos (depends on traffic).
BenCab Museum,Great exhibit. ❤️I also love the view in this place. 😍
BenCab Museum,A Very nice Museum worth visiting with family or friends.  Excellent paintings and different art works can be seen here.
BenCab Museum,"I was able to appreciate the work in a quiet atmosphere, and it is healing in a pretty garden."
BenCab Museum,"This superb museum is one of the best places to visit in the whole of the Philippines. Located in a beautiful valley in BenCab's very own estate, this is a stunning home for some outstanding artwork. EcoTours of the estate are also available and last approx. 1hr (additional charges apply). The cafe is excellent too. The artefacts from the Cordellera are also excellent with a vast collection from all over the region. This really is an outstanding place to visit. Visit time for the gallery is about 1hr but you can easily stay longer if you want to eat, do the ecotour or just simply enjoy the view. Wildlife lovers should also enjoy the variety of bird life especially the numerous sunbirds in the surrounding gardens."
BenCab Museum,"It’s quite a distance from downtown Baguio but the half-hour trip was worth it. This lovely, well-curated art museum showcases the rich culture of the Cordillera highlands and the work of local artists. Each floor on the museum has a scenic lookout offering panoramic views of the surrounding mountains. There is also a café serving local dishes and drinks.For those taking public transportation, it is relatively easy to reach the museum by cab or jeepney. From the museum, however, there is a bit of wait for cabs and the ones that do arrive are most likely dropping off visitors. It can therefore be a challenge finding a cab an hour or so before the museum closes. The jeepney stop is not far away but if you arrive to a near-empty jeepney, there will be a bit of a wait too. I saw people trying to hitch a ride in vain."
BenCab Museum,"Place is quite a good time to spend in. For art appreciation lookers or museum hoppers. Food in cafe Sabel was quite pricy, there a resto nearby Happy Tummy, you cam try it for those who dont habe thick wallets"
BenCab Museum,"Visiting the BenCam Museum is quite refreshing even if you are not an art enthusiast, the museum has a small entrance fee and photography is allowed except for professional photography and no selfie sticks. The museum has different levels that houses contemporary arts from painting to sculptures, from wooden sculptures to ceramics, they have also a lot of photographs and stencils and if your really appreciate art you would enjoy this visit. I like visiting museums and art show whenever I travel or whenever its possible, the building is modern, clean and tidy. I enjoyed the art collection but the genre of the art isnt for me, I more enjoyed european medieval arts, or ancient greek, roman and egyptian arts but like what I said its a contemporary art collection. The ground level has a cafe where you could refresh and relax, there is also a pond and a nipa hut in the middle where we spent some time. The museum is far from the city centre, we took a cab to the museum and we left the museum before dark fall and there are no cabs outside, luckily the employees are also going home and an empty jeep is waiting for them, we took the same ride. Its worth a visit, something new. They do have a lot of penile sculptures, penis is a big part of the culture."
BenCab Museum,"You'll appreciate it if you're into arts. Other than that, there's a cafe and a big garden if you want to chill"
BenCab Museum,"30 mins away from Burnham Park when you ride a jeep (this includes waiting for taxi/jeepney), can rate going there is Php 177 as of December 2019, jeepney rate is 11 pesos per head, Bencab entrance 100 for senior citizen, 150 for regular adult, 120 for students, no credit card available for now, cash basis only,"
BenCab Museum,"Disadvantage for groups/ family who will not ALL go inside the museum, you have to pay before using the toilet . However, the place is serene and the artworks is something we can be proud of as filipino."
BenCab Museum,"Inspiring place for those artists and non-artists. Didn't know Ben Cab is such a talented one. He uses different media in his crafts. You will also discover different artists and artworks in this museum. Very affordable price and you will appreciate nature here, as well! ❤"
BenCab Museum,First time here and I love it. A bit far from the city center. I wish we went there a bit earlier.
BenCab Museum,Great place to see Bencab's work and those of other local artists too.Entrance fee is Php100 for adults. Not a lot of parking spaces available but they allow you to park along the street. Place is pretty busy on weekends.We didn't know there were guided tours and we missed it. I'm sure the tour would have been very informative and educational. Our trip to Bencab was still very good.Make sure you set aside time to hang out in the garden.
BenCab Museum,"There are a variety of artworks shown for everyone's enjoyment. From historical pieces to contemporary artists that has a unique perspective to an eco-trail (not available as of June 14, 2022), this is a great family-friendly destination!"
BenCab Museum,"Place is a bit far from the city center, but people go here nonetheless to see and appreciate the art works by Ben Cabrera. The art pieces are stunning. Place is well-maintained but I'm reserving my one star for a full 5/5 because some of the lights shining on the paintings were flickering."
BenCab Museum,There are art pieces everywhere you turn! It's a really cool museum with nice views from the veranda. The only downside is the location which is a little far from the town center.
BenCab Museum,Visit the museum early if you want to enjoy and appreciate the art pieces. …More
BenCab Museum,"A nice place to be in. Sourrounding yourself with nature and art, it was more than satisfying. I saw a collection there dated 15-16th century works of remrandt and so on.  It was amazing! As an art enthusiast myself i got to see amazing works of art from filipinos such as bencab ofcourse. You cant go to baguio without visiting this place!😍😍😍😄😄😄🙄😀"
BenCab Museum,"This is a really  must  see Museum.  Great artworks, Ben was there  when we're  there. 120  Peso is really  worth:)But  the cab  that wait  for us charged us a 700 peso just  for  a 30minutes  of waiting.  Bloody  Hell.  Can't  do  anything."
BenCab Museum,"A must for those whose into arts. Do ask for a guide to appreciate the museum. There are many instagram worthy locations within the museum, just be creative."
BenCab Museum,This place is a must see if you are in Baguio. …More
BenCab Museum,"The Museum was great BUT the cafe has a long way to go to be, at least, ok.The surrounding area is exceptional. I will keep going back to that cafe as their Ceasar's salad was wilted and had soggy croutons (so soggy that it felt it was left out for a few hours or so). Upon complaining with Mike, the supposedly manager, he just smiled and said sorry like it was just to brush me away. Insulting and very improperly impolite to just accept how bad his product was.That experience was enough to upset my whole itenerary of leisurely taking in the grounds and the art.Disappointed here."
BenCab Museum,"Lots of places to take pictures here, another good place to stop over when you visit baguio"
BenCab Museum,"Loved the exhibits, the museum architecture, and the ponds at the bottom part. Nice view as well, towards the late afternoon."
BenCab Museum,"If you're into Art of any form, and painting, you'll surely love this place. Indoor and outdoor, the place is IG worthy. You also get to learn a little of the PH culture and history. Worth visiting when you are in Baguio. Been here twice (2014) and last Nov 2019,but will surely comeback to this place again if I visit Baguio."
BenCab Museum,Things you should do in baguio list amazing art and creativity nice background area pond and cafe was great good food they have little strawberry farm so no need to visit strawberry farm in la Trinidad if you been to Bencab they try to build more garden thing at back I like to visit soon and must have car or ask the taxi pick u up certain time specially at late afternoon they close at 5pm
BenCab Museum,"It was pretty good place, but i don't want to say u must visit bencab. If u want to go there without a car, I suggest u make sure how to return after enjoying Bencab. There was no taxi. I had to walk to a jeepney stop for 10 mins and wait there for 10 mins."
BenCab Museum,Great place to visit. Just be careful with umbrella thefts. You will be able to see the creativeness of every artist who's work are displayed within the 4 story building. They also have an econtrail. Did not try it because of the heavy rain during my visit.
BenCab Museum,"Really love the place, it's to die for. The view is breathtaking 🤩 …More"
BenCab Museum,A famous local museum in Baguio City oftenly known for its vast collection of artifacts from its indigenous people and creations from the local famous painter bencab. They also serve local cuisine from their inhouse restaurant but although a famous museum service from their restaurant is quite slow. 😋😋 but overall good place with not so much people. 👍👍
BenCab Museum,"Went early, like minutes after opening, allowing us to have no wait time. Exhibits are fascinating and celebrates local art and culture very well. …More"
BenCab Museum,T'was a great experience! Great place to chill and sip some coffee ☕
BenCab Museum,A must visit place when you are at trip to Baguio City.Very relaxing ambiance and the coffee is great!
BenCab Museum,150 entrance fee for adult.Free museum and eco trail guided tour available time 10am-1pm-3pm-5pmMust try CAFE SABEL (inside ben cab museum)Grilled Porkchop and White Chocolate
BenCab Museum,Bencab museum one of the most beautiful attractions here in baguio very creative design of their statues that made of woods inpiring paintings that people inspired also to visit. 120 entrance per head
